Model,Fuel Type,Price,Description,Kilometers Driven,Model Year,Brand
2011 Hyundai Tucson,Automatic,"NRP4,650,000.00",,,,
2007 Hyundai Santro Era,Automatic,"NRP1,099,000.00",,,,
2014 Hyundai Verna,Automatic,"NRP2,799,000.00",,,,
2014 Hyundai I10,Automatic,"NRP1,945,000.00",,,,
2018 Hyundai I10,Automatic,"NRP2,625,000.00",,,,
2015 Hyundai I10,Automatic,"NRP2,125,000.00",,,,
2014 Hyundai Xcent Sx,Automatic,"NRP2,200,000.00",,,,
2010 Hyundai I20,Automatic,"NRP1,615,000.00",,,,
2016 Hyundai Xcent Sx,Automatic,"NRP2,199,000.00",,,,
2015 Hyundai Creta Sx,Automatic,"NRP3,800,000.00",,,,
2016 Hyundai Xcent Sx,Automatic,"NRP2,199,000.00",,,,
2015 Hyundai Creta Sx,Automatic,"NRP3,800,000.00",,,,
2016 Hyundai Creta Sx,Automatic,"NRP4,450,000.00",,,,
2015 Hyundai I20,Automatic,"NRP2,399,000.00",,,,
2008 Hyundai I10,Automatic,"NRP1,299,000.00",,,,
2019 Hyundai Creta Sx,Automatic,"NRP5,500,000.00",,,,
2016 Hyundai I20,Automatic,"NRP2,625,000.00",,,,
2014 Hyundai Verna,Automatic,"NRP2,699,000.00",,,,
2015 Hyundai I10,Automatic,"NRP2,075,000.00",,,,
2008 Hyundai Tucson,Automatic,"NRP2,399,000.00",,,,
2016 Hyundai I10,Automatic,"NRP2,450,000.00",,,,
2013 Hyundai Eon Era Plus,Automatic,"NRP1,275,000.00",,,,
2017 Hyundai Verna,Automatic,"NRP3,850,000.00",,,,
2009 Hyundai Getz,Automatic,"NRP1,150,000.00",,,,
2017 Hyundai Xcent Sx,Automatic,"NRP2,475,000.00",,,,
2010 Hyundai I20,Automatic,"NRP1,675,000.00",,,,
2015 Hyundai Grand,Automatic,"NRP2,075,000.00",,,,
2019 Hyundai Santro Sportz,Automatic,"NRP2,400,000.00",,,,
2019 Hyundai Creta Sx,Automatic,"NRP4,900,000.00",,,,
2019 Hyundai Kona 2019 Long Range,Automatic,"NRP4,650,000.00",,,,
2008 Hyundai Accent,Automatic,"NRP1,275,000.00",,,,
2013 Hyundai Verna,Automatic,"NRP2,450,000.00",,,,
2015 Hyundai I10,Automatic,"NRP2,325,000.00",,,,
2016 Hyundai Creta Sx,Automatic,"NRP4,600,000.00",,,,
2015 Hyundai Verna,Automatic,"NRP2,725,000.00",,,,
2011 Hyundai Tucson,Automatic,"NRP3,650,000.00",,,,
2016 Hyundai Creta E,Automatic,"NRP3,850,000.00",,,,
2015 Hyundai Verna,Automatic,"NRP2,725,000.00",,,,
2011 Hyundai Tucson,Automatic,"NRP3,650,000.00",,,,
2016 Hyundai Creta E,Automatic,"NRP3,850,000.00",,,,
2013 Hyundai Eon Era Plus,Automatic,"NRP1,275,000.00",,,,
2009 Hyundai Tucson,Automatic,"NRP2,450,000.00",,,,
2010 Hyundai I10,Automatic,"NRP1,650,000.00",,,,
2006 Hyundai Getz,Automatic,"NRP925,000.00",,,,
2019 Hyundai Verna,Automatic,"NRP3,350,000.00",,,,
2018 Hyundai Creta Sx,Automatic,"NRP4,950,000.00",,,,
2016 Hyundai I10,Automatic,"NRP2,150,000.00",,,,
2013 Hyundai I10,Automatic,"NRP2,150,000.00",,,,
2015 Hyundai Eon Magna,Automatic,"NRP1,475,000.00",,,,
2015 Hyundai I10,Automatic,"NRP2,325,000.00",,,,
2015 Hyundai Eon Era Plus,Automatic,"NRP1,425,000.00",,,,
2012 Hyundai Eon Era Plus,Automatic,"NRP1,175,000.00",,,,
2015 Hyundai I10,Automatic,"NRP2,150,000.00",,,,
2014 Hyundai I10,Automatic,"NRP2,200,000.00",,,,
2016 Hyundai Creta Sx,Automatic,"NRP3,850,000.00",,,,
2004 Hyundai Getz,Automatic,"NRP725,000.00",,,,
2017 Hyundai Creta Sx,Automatic,"NRP4,300,000.00",,,,
2016 Hyundai I10,Automatic,"NRP2,250,000.00",,,,
2016 Hyundai Creta Sx,Automatic,"NRP4,525,000.00",,,,
2013 Hyundai I10,Automatic,"NRP2,115,000.00",,,,
2014 Hyundai I10,Automatic,"NRP1,945,000.00",,,,
2017 Hyundai I20,Automatic,"NRP2,925,000.00",,,,
2018 Hyundai I10,Automatic,"NRP2,625,000.00",,,,
2015 Hyundai I10,Automatic,"NRP2,125,000.00",,,,
2016 Hyundai Xcent Sx,Automatic,"NRP2,200,000.00",,,,
2010 Hyundai I20,Automatic,"NRP1,615,000.00",,,,
2017 Hyundai I20,Automatic,"NRP2,925,000.00",,,,
2016 Hyundai I10,Automatic,"NRP2,625,000.00",,,,
